FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
42111,PA,"Somerset County, Pennsylvania",12.20%,"9,530",160%,SNAP,185%,Other Nutrition Program,62.20%,13.10%,24.80%,20.90%,3200,88%,12%,$2.43 ,"$3,775,370.00 "
42113,PA,"Sullivan County, Pennsylvania",10.60%,690,160%,SNAP,185%,Other Nutrition Program,72.00%,13.70%,14.30%,19.00%,200,100%,0%,$2.67 ,"$300,350.00 "
42115,PA,"Susquehanna County, Pennsylvania",11.20%,"4,840",160%,SNAP,185%,Other Nutrition Program,63.10%,10.30%,26.60%,19.60%,1830,79%,22%,$3.05 ,"$2,406,610.00 "
42117,PA,"Tioga County, Pennsylvania",11.90%,"4,960",160%,SNAP,185%,Other Nutrition Program,67.50%,12.30%,20.20%,20.90%,1820,83%,17%,$2.71 ,"$2,191,350.00 "
42119,PA,"Union County, Pennsylvania",12.40%,"5,560",160%,SNAP,185%,Other Nutrition Program,49.00%,8.80%,42.20%,18.80%,1560,81%,19%,$2.90 ,"$2,628,650.00 "
42121,PA,"Venango County, Pennsylvania",12.40%,"6,850",160%,SNAP,185%,Other Nutrition Program,63.70%,8.80%,27.50%,23.00%,2760,74%,26%,$2.73 ,"$3,048,700.00 "
42123,PA,"Warren County, Pennsylvania",11.10%,"4,630",160%,SNAP,185%,Other Nutrition Program,59.30%,12.50%,28.20%,19.80%,1740,75%,26%,$2.23 ,"$1,683,240.00 "
42125,PA,"Washington County, Pennsylvania",11.10%,"22,970",160%,SNAP,185%,Other Nutrition Program,49.90%,9.30%,40.80%,16.70%,7200,60%,40%,$2.87 ,"$10,747,410.00 "
42127,PA,"Wayne County, Pennsylvania",10.70%,"5,600",160%,SNAP,185%,Other Nutrition Program,56.00%,12.00%,32.00%,19.00%,1960,83%,18%,$2.83 ,"$2,583,660.00 "
42129,PA,"Westmoreland County, Pennsylvania",11.10%,"40,520",160%,SNAP,185%,Other Nutrition Program,52.00%,10.40%,37.70%,17.90%,13100,63%,37%,$2.67 ,"$17,637,680.00 "
42131,PA,"Wyoming County, Pennsylvania",12.50%,"3,550",160%,SNAP,185%,Other Nutrition Program,54.60%,9.40%,36.00%,21.60%,1340,70%,30%,$2.79 ,"$1,614,710.00 "
42133,PA,"York County, Pennsylvania",11.40%,"49,040",160%,SNAP,185%,Other Nutrition Program,45.20%,8.90%,46.00%,17.50%,17800,59%,41%,$2.81 ,"$22,465,580.00 "
44001,RI,"Bristol County, Rhode Island",11.50%,"5,780",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",43.20%,0.00%,56.80%,14.50%,1510,45%,55%,$3.87 ,"$3,646,700.00 "
44003,RI,"Kent County, Rhode Island",12.50%,"20,860",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",50.20%,0.00%,49.80%,17.50%,6100,61%,39%,$2.84 ,"$9,658,140.00 "
44005,RI,"Newport County, Rhode Island",13.30%,"11,030",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",44.50%,0.00%,55.50%,17.70%,2900,49%,51%,$3.37 ,"$6,059,910.00 "
44007,RI,"Providence County, Rhode Island",17.20%,"108,090",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",64.50%,0.00%,35.50%,24.00%,33330,71%,29%,$2.85 ,"$50,221,670.00 "
44009,RI,"Washington County, Rhode Island",11.10%,"14,040",185%,"SNAP, Other Nutrition Programs",185%,"SNAP, Other Nutrition Programs",42.90%,0.00%,57.10%,15.20%,3930,52%,48%,$3.46 ,"$7,919,610.00 "
45001,SC,"Abbeville County, South Carolina",17.90%,"4,560",130%,SNAP,185%,Other Nutrition Program,56.90%,21.60%,21.50%,24.80%,1480,72%,28%,$2.50 ,"$1,858,510.00 "
45003,SC,"Aiken County, South Carolina",15.70%,"24,800",130%,SNAP,185%,Other Nutrition Program,56.30%,17.00%,26.70%,24.50%,8950,70%,30%,$2.54 ,"$10,269,430.00 "
45005,SC,"Allendale County, South Carolina",33.00%,"3,480",130%,SNAP,185%,Other Nutrition Program,64.20%,25.40%,10.40%,34.20%,810,71%,29%,$2.54 ,"$1,441,030.00 "
45007,SC,"Anderson County, South Carolina",14.80%,"27,400",130%,SNAP,185%,Other Nutrition Program,54.80%,19.70%,25.50%,25.30%,11320,70%,30%,$2.50 ,"$11,167,380.00 "
45009,SC,"Bamberg County, South Carolina",26.60%,"4,270",130%,SNAP,185%,Other Nutrition Program,58.60%,18.20%,23.30%,28.10%,1020,64%,36%,$2.58 ,"$1,796,010.00 "
45011,SC,"Barnwell County, South Carolina",24.00%,"5,430",130%,SNAP,185%,Other Nutrition Program,60.90%,18.60%,20.60%,30.60%,1780,68%,32%,$2.54 ,"$2,248,510.00 "
45013,SC,"Beaufort County, South Carolina",13.20%,"20,960",130%,SNAP,185%,Other Nutrition Program,42.50%,19.40%,38.20%,22.50%,7570,71%,29%,$2.93 ,"$10,011,970.00 "
45015,SC,"Berkeley County, South Carolina",15.10%,"26,400",130%,SNAP,185%,Other Nutrition Program,47.40%,20.20%,32.50%,23.20%,10220,65%,35%,$2.66 ,"$11,448,440.00 "
45017,SC,"Calhoun County, South Carolina",18.70%,"2,840",130%,SNAP,185%,Other Nutrition Program,55.10%,19.70%,25.20%,22.50%,760,67%,33%,$2.58 ,"$1,194,530.00 "
45019,SC,"Charleston County, South Carolina",16.80%,"58,190",130%,SNAP,185%,Other Nutrition Program,50.70%,17.90%,31.40%,22.10%,16130,64%,36%,$2.76 ,"$26,182,930.00 "
45021,SC,"Cherokee County, South Carolina",18.80%,"10,370",130%,SNAP,185%,Other Nutrition Program,61.90%,22.30%,15.80%,30.00%,4070,81%,19%,$2.28 ,"$3,854,560.00 "
45023,SC,"Chester County, South Carolina",22.60%,"7,510",130%,SNAP,185%,Other Nutrition Program,60.00%,26.70%,13.30%,30.80%,2510,81%,19%,$2.72 ,"$3,330,190.00 "
45025,SC,"Chesterfield County, South Carolina",20.60%,"9,560",130%,SNAP,185%,Other Nutrition Program,58.20%,26.50%,15.30%,28.80%,3340,75%,25%,$2.59 ,"$4,036,630.00 "
45027,SC,"Clarendon County, South Carolina",23.20%,"8,070",130%,SNAP,185%,Other Nutrition Program,55.60%,29.70%,14.70%,26.20%,2060,79%,22%,$2.64 ,"$3,473,270.00 "
45029,SC,"Colleton County, South Carolina",21.00%,"8,170",130%,SNAP,185%,Other Nutrition Program,62.50%,27.20%,10.40%,25.50%,2460,81%,19%,$2.56 ,"$3,409,750.00 "
45031,SC,"Darlington County, South Carolina",20.10%,"13,780",130%,SNAP,185%,Other Nutrition Program,54.30%,23.30%,22.40%,25.60%,4310,72%,28%,$2.70 ,"$6,065,600.00 "
45033,SC,"Dillon County, South Carolina",26.60%,"8,460",130%,SNAP,185%,Other Nutrition Program,75.40%,21.60%,3.00%,34.90%,2970,75%,25%,$2.59 ,"$3,572,160.00 "
45035,SC,"Dorchester County, South Carolina",13.80%,"18,420",130%,SNAP,185%,Other Nutrition Program,44.60%,18.70%,36.70%,20.70%,7490,62%,38%,$2.69 ,"$8,077,980.00 "
45037,SC,"Edgefield County, South Carolina",17.20%,"4,610",130%,SNAP,185%,Other Nutrition Program,50.40%,17.00%,32.60%,23.40%,1350,66%,34%,$2.77 ,"$2,081,810.00 "
45039,SC,"Fairfield County, South Carolina",22.60%,"5,400",130%,SNAP,185%,Other Nutrition Program,53.90%,26.60%,19.50%,21.10%,1170,74%,27%,$2.48 ,"$2,183,260.00 "
45041,SC,"Florence County, South Carolina",19.90%,"27,040",130%,SNAP,185%,Other Nutrition Program,54.30%,19.90%,25.70%,24.40%,8200,67%,33%,$2.52 ,"$11,108,820.00 "
45043,SC,"Georgetown County, South Carolina",18.10%,"10,930",130%,SNAP,185%,Other Nutrition Program,58.40%,17.80%,23.80%,25.70%,3380,68%,32%,$2.84 ,"$5,060,570.00 "
45045,SC,"Greenville County, South Carolina",14.10%,"62,680",130%,SNAP,185%,Other Nutrition Program,52.90%,16.60%,30.50%,23.60%,25520,66%,34%,$2.51 ,"$25,648,590.00 "
45047,SC,"Greenwood County, South Carolina",18.10%,"12,530",130%,SNAP,185%,Other Nutrition Program,55.50%,18.50%,26.10%,26.60%,4390,70%,31%,$2.45 ,"$5,004,700.00 "
45049,SC,"Hampton County, South Carolina",22.80%,"4,810",130%,SNAP,185%,Other Nutrition Program,52.70%,28.90%,18.40%,25.30%,1310,77%,23%,$2.61 ,"$2,046,660.00 "
45051,SC,"Horry County, South Carolina",15.90%,"42,160",130%,SNAP,185%,Other Nutrition Program,55.10%,18.50%,26.40%,28.20%,15180,71%,29%,$2.71 ,"$18,626,470.00 "
45053,SC,"Jasper County, South Carolina",19.00%,"4,590",130%,SNAP,185%,Other Nutrition Program,56.40%,22.40%,21.30%,24.30%,1470,67%,33%,$2.82 ,"$2,110,190.00 "
45055,SC,"Kershaw County, South Carolina",15.00%,"9,140",130%,SNAP,185%,Other Nutrition Program,58.50%,22.40%,19.10%,23.20%,3490,78%,22%,$2.72 ,"$4,052,990.00 "
45057,SC,"Lancaster County, South Carolina",19.20%,"14,290",130%,SNAP,185%,Other Nutrition Program,54.80%,16.50%,28.70%,30.50%,5340,73%,27%,$2.43 ,"$5,661,080.00 "
45059,SC,"Laurens County, South Carolina",17.00%,"11,360",130%,SNAP,185%,Other Nutrition Program,57.00%,22.50%,20.50%,28.00%,4360,79%,21%,$2.26 ,"$4,185,500.00 "
45061,SC,"Lee County, South Carolina",25.00%,"4,850",130%,SNAP,185%,Other Nutrition Program,54.80%,32.90%,12.30%,24.10%,1070,75%,25%,$2.54 ,"$2,008,340.00 "
45063,SC,"Lexington County, South Carolina",12.10%,"31,220",130%,SNAP,185%,Other Nutrition Program,48.00%,17.10%,34.90%,21.60%,13720,60%,40%,$2.55 ,"$12,978,780.00 "
45065,SC,"McCormick County, South Carolina",20.60%,"2,100",130%,SNAP,185%,Other Nutrition Program,35.80%,25.50%,38.80%,23.50%,350,62%,38%,$2.54 ,"$869,590.00 "
45067,SC,"Marion County, South Carolina",27.90%,"9,290",130%,SNAP,185%,Other Nutrition Program,55.00%,29.50%,15.50%,30.20%,2430,75%,26%,$2.60 ,"$3,937,770.00 "
45069,SC,"Marlboro County, South Carolina",27.50%,"7,960",130%,SNAP,185%,Other Nutrition Program,56.20%,24.50%,19.30%,33.80%,2150,78%,22%,$2.65 ,"$3,438,900.00 "
45071,SC,"Newberry County, South Carolina",16.40%,"6,130",130%,SNAP,185%,Other Nutrition Program,51.60%,21.50%,26.90%,24.20%,2070,73%,27%,$2.54 ,"$2,538,370.00 "
45073,SC,"Oconee County, South Carolina",14.10%,"10,410",130%,SNAP,185%,Other Nutrition Program,59.30%,15.70%,25.00%,27.80%,4340,72%,28%,$2.52 ,"$4,276,730.00 "
45075,SC,"Orangeburg County, South Carolina",25.40%,"23,450",130%,SNAP,185%,Other Nutrition Program,58.40%,25.10%,16.50%,25.20%,5440,73%,27%,$2.63 ,"$10,054,470.00 "
45077,SC,"Pickens County, South Carolina",13.90%,"16,460",130%,SNAP,185%,Other Nutrition Program,58.50%,17.10%,24.40%,25.70%,6260,70%,30%,$2.77 ,"$7,433,110.00 "
45079,SC,"Richland County, South Carolina",19.00%,"71,930",130%,SNAP,185%,Other Nutrition Program,43.80%,18.20%,37.90%,19.00%,16570,59%,41%,$2.62 ,"$30,723,600.00 "
45081,SC,"Saluda County, South Carolina",15.20%,"2,980",130%,SNAP,185%,Other Nutrition Program,61.30%,27.60%,11.10%,23.60%,1080,80%,20%,$2.54 ,"$1,233,990.00 "
45083,SC,"Spartanburg County, South Carolina",15.90%,"44,740",130%,SNAP,185%,Other Nutrition Program,52.60%,19.00%,28.40%,25.40%,17530,70%,30%,$2.49 ,"$18,161,680.00 "
45085,SC,"Sumter County, South Carolina",20.50%,"21,900",130%,SNAP,185%,Other Nutrition Program,53.20%,30.00%,16.80%,23.90%,6560,76%,24%,$2.47 ,"$8,818,640.00 "
45087,SC,"Union County, South Carolina",21.30%,"6,170",130%,SNAP,185%,Other Nutrition Program,54.20%,26.90%,18.80%,29.90%,1980,76%,24%,$2.51 ,"$2,524,760.00 "
45089,SC,"Williamsburg County, South Carolina",26.90%,"9,340",130%,SNAP,185%,Other Nutrition Program,66.70%,21.80%,11.50%,27.50%,2290,65%,35%,$2.61 ,"$3,974,190.00 "
45091,SC,"York County, South Carolina",16.80%,"37,260",130%,SNAP,185%,Other Nutrition Program,40.40%,17.90%,41.70%,25.70%,14590,60%,40%,$2.69 ,"$16,340,150.00 "
46003,SD,"Aurora County, South Dakota",8.60%,230,130%,SNAP,185%,Other Nutrition Program,53.50%,23.00%,23.50%,13.20%,100,75%,25%,$2.53 ,"$94,870.00 "
46005,SD,"Beadle County, South Dakota",11.30%,"1,930",130%,SNAP,185%,Other Nutrition Program,52.30%,17.80%,29.90%,16.00%,630,56%,44%,$2.60 ,"$818,070.00 "
46007,SD,"Bennett County, South Dakota",18.30%,630,130%,SNAP,185%,Other Nutrition Program,72.10%,13.10%,14.80%,30.50%,360,72%,28%,$2.51 ,"$257,800.00 "
46009,SD,"Bon Homme County, South Dakota",10.80%,760,130%,SNAP,185%,Other Nutrition Program,35.80%,18.40%,45.80%,16.20%,230,51%,49%,$2.61 ,"$323,380.00 "
46011,SD,"Brookings County, South Dakota",13.70%,"4,320",130%,SNAP,185%,Other Nutrition Program,48.60%,11.50%,40.00%,13.80%,820,49%,51%,$2.73 ,"$1,922,680.00 "
46013,SD,"Brown County, South Dakota",10.30%,"3,750",130%,SNAP,185%,Other Nutrition Program,39.30%,19.00%,41.70%,13.10%,1100,64%,36%,$2.63 ,"$1,607,860.00 "
46015,SD,"Brule County, South Dakota",10.00%,520,130%,SNAP,185%,Other Nutrition Program,60.90%,12.70%,26.40%,14.80%,200,48%,52%,$2.54 ,"$215,330.00 "
46017,SD,"Buffalo County, South Dakota",28.40%,550,130%,SNAP,185%,Other Nutrition Program,76.70%,23.30%,0.00%,38.00%,280,95%,5%,$2.59 ,"$232,230.00 "
46019,SD,"Butte County, South Dakota",11.40%,"1,140",130%,SNAP,185%,Other Nutrition Program,48.80%,18.30%,32.90%,18.40%,470,59%,41%,$2.66 ,"$494,360.00 "
46021,SD,"Campbell County, South Dakota",9.20%,130,130%,SNAP,185%,Other Nutrition Program,49.90%,24.60%,25.50%,15.00%,40,83%,17%,$2.47 ,"$52,350.00 "
46023,SD,"Charles Mix County, South Dakota",13.90%,"1,260",130%,SNAP,185%,Other Nutrition Program,65.50%,19.90%,14.60%,23.20%,620,82%,18%,$2.53 ,"$519,700.00 "
46025,SD,"Clark County, South Dakota",11.20%,410,130%,SNAP,185%,Other Nutrition Program,57.40%,12.00%,30.60%,20.20%,180,64%,37%,$2.61 ,"$174,460.00 "
46027,SD,"Clay County, South Dakota",15.10%,"2,100",130%,SNAP,185%,Other Nutrition Program,51.40%,6.20%,42.40%,16.30%,390,62%,38%,$2.54 ,"$869,590.00 "
46029,SD,"Codington County, South Dakota",11.10%,"3,000",130%,SNAP,185%,Other Nutrition Program,43.90%,20.50%,35.60%,15.50%,1040,62%,38%,$2.56 ,"$1,252,050.00 "
46031,SD,"Corson County, South Dakota",20.30%,820,130%,SNAP,185%,Other Nutrition Program,79.40%,17.10%,3.50%,32.40%,450,80%,20%,$2.47 ,"$330,200.00 "
46033,SD,"Custer County, South Dakota",9.80%,800,130%,SNAP,185%,Other Nutrition Program,32.00%,17.20%,50.70%,13.30%,210,35%,65%,$2.66 ,"$346,920.00 "
46035,SD,"Davison County, South Dakota",11.60%,"2,270",130%,SNAP,185%,Other Nutrition Program,40.30%,19.30%,40.50%,14.80%,660,54%,46%,$2.52 ,"$932,580.00 "
46037,SD,"Day County, South Dakota",13.60%,780,130%,SNAP,185%,Other Nutrition Program,45.00%,20.10%,34.80%,20.00%,250,60%,40%,$2.57 ,"$326,800.00 "
46039,SD,"Deuel County, South Dakota",9.00%,390,130%,SNAP,185%,Other Nutrition Program,29.70%,42.50%,27.80%,12.20%,120,82%,18%,$2.62 ,"$166,580.00 "
46041,SD,"Dewey County, South Dakota",21.60%,"1,150",130%,SNAP,185%,Other Nutrition Program,65.20%,17.70%,17.10%,32.30%,590,71%,29%,$2.59 ,"$485,580.00 "
46043,SD,"Douglas County, South Dakota",9.80%,300,130%,SNAP,185%,Other Nutrition Program,53.90%,25.10%,21.00%,14.10%,100,86%,14%,$2.56 ,"$125,210.00 "
46045,SD,"Edmunds County, South Dakota",9.80%,400,130%,SNAP,185%,Other Nutrition Program,47.00%,7.10%,45.90%,13.60%,120,45%,55%,$2.59 ,"$168,900.00 "
46047,SD,"Fall River County, South Dakota",12.20%,860,130%,SNAP,185%,Other Nutrition Program,44.50%,30.10%,25.40%,17.30%,230,59%,41%,$2.65 ,"$371,540.00 "
46049,SD,"Faulk County, South Dakota",11.10%,260,130%,SNAP,185%,Other Nutrition Program,77.30%,16.00%,6.80%,11.90%,60,100%,0%,$2.58 ,"$109,360.00 "
46051,SD,"Grant County, South Dakota",11.30%,830,130%,SNAP,185%,Other Nutrition Program,38.90%,17.00%,44.10%,15.40%,260,51%,50%,$2.62 ,"$354,520.00 "
46053,SD,"Gregory County, South Dakota",11.00%,470,130%,SNAP,185%,Other Nutrition Program,53.50%,22.20%,24.30%,18.80%,170,69%,31%,$2.53 ,"$193,860.00 "
46055,SD,"Haakon County, South Dakota",9.10%,160,130%,SNAP,185%,Other Nutrition Program,37.50%,17.80%,44.80%,15.20%,50,66%,34%,$2.64 ,"$68,860.00 "
46057,SD,"Hamlin County, South Dakota",8.90%,520,130%,SNAP,185%,Other Nutrition Program,49.40%,37.50%,13.00%,14.40%,250,93%,7%,$2.64 ,"$223,800.00 "
46059,SD,"Hand County, South Dakota",10.80%,370,130%,SNAP,185%,Other Nutrition Program,45.40%,25.00%,29.60%,18.10%,130,63%,37%,$2.58 ,"$155,630.00 "
46061,SD,"Hanson County, South Dakota",10.70%,360,130%,SNAP,185%,Other Nutrition Program,56.40%,24.60%,19.00%,16.40%,180,88%,12%,$2.55 ,"$149,660.00 "
46063,SD,"Harding County, South Dakota",10.50%,140,130%,SNAP,185%,Other Nutrition Program,42.60%,24.30%,33.10%,15.00%,50,54%,46%,$2.65 ,"$60,480.00 "
46065,SD,"Hughes County, South Dakota",10.20%,"1,720",130%,SNAP,185%,Other Nutrition Program,40.80%,11.20%,48.00%,14.60%,580,58%,42%,$2.56 ,"$717,840.00 "
46067,SD,"Hutchinson County, South Dakota",9.80%,720,130%,SNAP,185%,Other Nutrition Program,54.10%,19.00%,26.90%,14.90%,260,71%,29%,$2.62 ,"$307,540.00 "
46069,SD,"Hyde County, South Dakota",9.70%,140,130%,SNAP,185%,Other Nutrition Program,41.20%,15.30%,43.50%,15.00%,50,66%,34%,$2.59 ,"$59,110.00 "
46071,SD,"Jackson County, South Dakota",18.00%,550,130%,SNAP,185%,Other Nutrition Program,76.60%,3.00%,20.40%,29.00%,290,72%,28%,$2.66 ,"$238,510.00 "
46073,SD,"Jerauld County, South Dakota",10.00%,200,130%,SNAP,185%,Other Nutrition Program,50.00%,23.10%,26.80%,15.50%,70,68%,32%,$2.53 ,"$82,490.00 "
46075,SD,"Jones County, South Dakota",9.60%,120,130%,SNAP,185%,Other Nutrition Program,51.00%,7.60%,41.30%,16.60%,50,58%,42%,$2.58 ,"$50,470.00 "
46077,SD,"Kingsbury County, South Dakota",9.70%,500,130%,SNAP,185%,Other Nutrition Program,37.70%,16.50%,45.80%,12.80%,140,47%,53%,$2.61 ,"$212,750.00 "
46079,SD,"Lake County, South Dakota",11.40%,"1,280",130%,SNAP,185%,Other Nutrition Program,44.00%,17.40%,38.60%,16.80%,400,70%,30%,$2.63 ,"$548,820.00 "
46081,SD,"Lawrence County, South Dakota",12.20%,"2,910",130%,SNAP,185%,Other Nutrition Program,45.80%,17.70%,36.50%,16.60%,780,63%,37%,$2.81 ,"$1,333,090.00 "
46083,SD,"Lincoln County, South Dakota",8.50%,"3,670",130%,SNAP,185%,Other Nutrition Program,27.00%,17.00%,56.00%,11.80%,1510,51%,49%,$3.05 ,"$1,824,850.00 "
46085,SD,"Lyman County, South Dakota",14.10%,530,130%,SNAP,185%,Other Nutrition Program,61.20%,16.90%,22.00%,21.50%,240,82%,18%,$2.57 ,"$222,060.00 "
46087,SD,"McCook County, South Dakota",9.20%,510,130%,SNAP,185%,Other Nutrition Program,40.00%,32.80%,27.20%,13.00%,190,78%,22%,$2.63 ,"$218,670.00 "
46089,SD,"McPherson County, South Dakota",11.70%,290,130%,SNAP,185%,Other Nutrition Program,56.10%,16.20%,27.70%,20.60%,120,67%,33%,$2.64 ,"$124,810.00 "
46091,SD,"Marshall County, South Dakota",13.60%,630,130%,SNAP,185%,Other Nutrition Program,56.40%,11.30%,32.30%,23.20%,280,64%,36%,$2.61 ,"$268,070.00 "
46093,SD,"Meade County, South Dakota",11.40%,"2,880",130%,SNAP,185%,Other Nutrition Program,41.70%,19.60%,38.70%,17.30%,1090,61%,39%,$2.24 ,"$1,051,720.00 "
46095,SD,"Mellette County, South Dakota",17.40%,360,130%,SNAP,185%,Other Nutrition Program,69.50%,9.50%,21.00%,31.70%,230,68%,32%,$2.75 ,"$161,400.00 "
46097,SD,"Miner County, South Dakota",9.80%,230,130%,SNAP,185%,Other Nutrition Program,39.20%,22.90%,37.90%,14.70%,80,53%,48%,$2.63 ,"$98,620.00 "
46099,SD,"Minnehaha County, South Dakota",11.70%,"19,580",130%,SNAP,185%,Other Nutrition Program,39.90%,18.10%,42.00%,15.10%,6310,59%,41%,$2.62 ,"$8,363,240.00 "
46101,SD,"Moody County, South Dakota",11.40%,740,130%,SNAP,185%,Other Nutrition Program,37.90%,32.30%,29.80%,17.70%,300,82%,18%,$2.63 ,"$317,280.00 "
46103,SD,"Pennington County, South Dakota",12.00%,"11,940",130%,SNAP,185%,Other Nutrition Program,46.60%,19.80%,33.60%,18.10%,4460,64%,36%,$2.67 ,"$5,197,280.00 "
46105,SD,"Perkins County, South Dakota",11.10%,320,130%,SNAP,185%,Other Nutrition Program,56.90%,24.20%,18.90%,13.90%,80,99%,1%,$2.57 ,"$134,070.00 "
46107,SD,"Potter County, South Dakota",9.80%,230,130%,SNAP,185%,Other Nutrition Program,40.40%,25.50%,34.10%,16.60%,80,69%,31%,$2.56 ,"$95,990.00 "
46109,SD,"Roberts County, South Dakota",14.50%,"1,470",130%,SNAP,185%,Other Nutrition Program,56.30%,20.30%,23.50%,24.50%,700,72%,29%,$2.56 ,"$613,500.00 "
46111,SD,"Sanborn County, South Dakota",11.00%,260,130%,SNAP,185%,Other Nutrition Program,52.20%,18.20%,29.60%,17.30%,100,62%,38%,$2.53 ,"$107,240.00 "
46113,SD,"Shannon County, South Dakota",27.80%,"3,760",130%,SNAP,185%,Other Nutrition Program,86.60%,12.20%,1.20%,39.70%,2100,84%,16%,$2.64 ,"$1,618,280.00 "
46115,SD,"Spink County, South Dakota",10.70%,690,130%,SNAP,185%,Other Nutrition Program,47.50%,17.60%,35.00%,16.70%,260,61%,39%,$2.56 ,"$287,970.00 "
46117,SD,"Stanley County, South Dakota",9.30%,270,130%,SNAP,185%,Other Nutrition Program,37.40%,20.50%,42.10%,14.90%,100,48%,52%,$2.60 ,"$114,450.00 "
46119,SD,"Sully County, South Dakota",8.80%,120,130%,SNAP,185%,Other Nutrition Program,32.00%,27.40%,40.60%,14.00%,40,62%,38%,$2.57 ,"$50,280.00 "
46121,SD,"Todd County, South Dakota",24.00%,"2,310",130%,SNAP,185%,Other Nutrition Program,85.80%,6.40%,7.80%,36.20%,1430,71%,29%,$2.60 ,"$979,140.00 "
46123,SD,"Tripp County, South Dakota",12.20%,690,130%,SNAP,185%,Other Nutrition Program,56.20%,20.90%,23.00%,21.60%,290,76%,24%,$2.55 ,"$286,850.00 "
46125,SD,"Turner County, South Dakota",8.80%,730,130%,SNAP,185%,Other Nutrition Program,39.30%,21.00%,39.70%,13.20%,260,63%,37%,$2.62 ,"$311,810.00 "
46127,SD,"Union County, South Dakota",9.40%,"1,330",130%,SNAP,185%,Other Nutrition Program,25.20%,17.40%,57.40%,12.10%,440,39%,61%,$2.54 ,"$550,740.00 "
46129,SD,"Walworth County, South Dakota",12.40%,670,130%,SNAP,185%,Other Nutrition Program,49.10%,14.40%,36.50%,18.30%,220,64%,36%,$2.58 ,"$281,810.00 "
46135,SD,"Yankton County, South Dakota",10.90%,"2,450",130%,SNAP,185%,Other Nutrition Program,39.70%,22.80%,37.50%,14.10%,690,62%,38%,$2.54 ,"$1,014,520.00 "
46137,SD,"Ziebach County, South Dakota",21.10%,590,130%,SNAP,185%,Other Nutrition Program,81.90%,11.80%,6.30%,32.80%,360,70%,30%,$2.63 ,"$252,970.00 "
47001,TN,"Anderson County, Tennessee",14.00%,"10,430",130%,SNAP,185%,Other Nutrition Program,52.60%,17.90%,29.60%,24.80%,4080,70%,30%,$2.82 ,"$4,795,060.00 "
47003,TN,"Bedford County, Tennessee",16.00%,"7,170",130%,SNAP,185%,Other Nutrition Program,61.50%,19.40%,19.10%,27.90%,3360,79%,21%,$2.64 ,"$3,085,910.00 "
47005,TN,"Benton County, Tennessee",15.40%,"2,530",130%,SNAP,185%,Other Nutrition Program,60.00%,24.50%,15.50%,27.20%,920,86%,15%,$2.64 ,"$1,088,890.00 "
47007,TN,"Bledsoe County, Tennessee",15.90%,"2,050",130%,SNAP,185%,Other Nutrition Program,55.30%,28.60%,16.20%,27.90%,770,85%,15%,$2.72 ,"$909,040.00 "
47009,TN,"Blount County, Tennessee",12.10%,"14,760",130%,SNAP,185%,Other Nutrition Program,47.30%,24.60%,28.10%,21.30%,5820,72%,28%,$2.78 ,"$6,689,470.00 "
47011,TN,"Bradley County, Tennessee",14.80%,"14,560",130%,SNAP,185%,Other Nutrition Program,57.30%,22.10%,20.60%,24.40%,5520,85%,15%,$2.82 ,"$6,693,780.00 "
47013,TN,"Campbell County, Tennessee",16.90%,"6,860",130%,SNAP,185%,Other Nutrition Program,64.30%,24.70%,11.00%,29.30%,2620,86%,14%,$2.67 ,"$2,986,040.00 "
47015,TN,"Cannon County, Tennessee",13.70%,"1,890",130%,SNAP,185%,Other Nutrition Program,58.00%,27.00%,15.00%,25.10%,780,82%,19%,$2.57 ,"$791,870.00 "
47017,TN,"Carroll County, Tennessee",16.70%,"4,790",130%,SNAP,185%,Other Nutrition Program,50.40%,25.80%,23.70%,26.30%,1670,86%,14%,$2.59 ,"$2,022,540.00 "
47019,TN,"Carter County, Tennessee",15.10%,"8,720",130%,SNAP,185%,Other Nutrition Program,63.40%,23.00%,13.60%,28.30%,3290,86%,14%,$2.65 ,"$3,767,240.00 "
47021,TN,"Cheatham County, Tennessee",11.50%,"4,500",130%,SNAP,185%,Other Nutrition Program,44.10%,25.40%,30.50%,20.70%,2030,75%,25%,$2.67 ,"$1,958,780.00 "
47023,TN,"Chester County, Tennessee",15.30%,"2,590",130%,SNAP,185%,Other Nutrition Program,50.00%,20.50%,29.50%,22.50%,890,76%,24%,$2.63 ,"$1,110,490.00 "
47025,TN,"Claiborne County, Tennessee",16.40%,"5,260",130%,SNAP,185%,Other Nutrition Program,63.90%,19.00%,17.10%,29.70%,2000,88%,12%,$2.59 ,"$2,220,990.00 "
